x_min,y_min,x_max,y_max,class_id,confidence,tracker_id,class_name,frame
912.8747,1504.5659,974.28937,1622.8806,3,0.83954924,9,car,22
891.4962,1201.6526,944.454,1294.5022,3,0.83282673,13,car,22
909.89154,1687.3352,970.72687,1802.2705,3,0.82735366,12,car,22
880.9129,1029.5784,930.5993,1109.6956,3,0.8232614,10,car,22
871.27576,898.28595,917.2417,966.1254,3,0.80677533,15,car,22
851.90857,810.0587,906.24854,883.4038,3,0.723311,16,car,22
791.82874,2745.6816,900.47034,2932.0571,3,0.88246375,1,car,23
856.72815,2256.4805,942.1661,2432.8938,3,0.86646026,3,car,23
809.24097,2482.724,907.8386,2670.2202,3,0.86041576,8,car,23
891.0747,2050.2708,960.11426,2189.6646,3,0.8486593,7,car,23
894.84393,1851.0011,970.30426,2008.7164,3,0.8440515,11,car,23
912.9245,1504.5295,973.98505,1622.9417,3,0.8387529,9,car,23
890.5131,1344.0289,950.43146,1455.335,3,0.8370407,5,car,23
891.92834,1202.1185,944.3051,1296.2333,3,0.8309562,13,car,23
909.772,1687.282,970.28156,1802.262,3,0.8276798,12,car,23
881.29114,1030.2686,930.5963,1109.9224,3,0.82216597,10,car,23
871.25806,898.09863,917.16016,965.8989,3,0.80574995,15,car,23
852.06445,810.2108,906.0571,883.1273,3,0.71542555,16,car,23
791.7735,2745.3518,900.9809,2931.9766,3,0.8830846,1,car,24
856.7886,2256.5278,942.1223,2432.6365,3,0.866164,3,car,24
809.2134,2482.724,907.7505,2670.1106,3,0.8603156,8,car,24
890.9822,2049.9878,960.0852,2189.7104,3,0.84679127,7,car,24
894.7833,1850.99,970.38904,2008.835,3,0.8440349,11,car,24
913.0362,1504.6602,973.97955,1623.0713,3,0.8379722,9,car,24
910.11053,1687.3159,969.518,1801.742,3,0.82860416,12,car,24
891.89777,1343.8613,950.80316,1455.8235,3,0.8204976,5,car,24
881.48676,1030.5779,930.5845,1110.0815,3,0.82018423,10,car,24
892.3727,1202.969,944.6387,1297.7441,3,0.8184813,13,car,24
871.2151,898.7837,916.9929,966.1935,3,0.7940773,15,car,24
852.44385,811.0576,906.2036,884.6327,3,0.7101164,16,car,24
791.881,2745.5474,900.9562,2932.101,3,0.88256043,1,car,25
856.68256,2256.641,942.2089,2432.7966,3,0.86662126,3,car,25
809.16797,2482.7556,907.723,2670.2205,3,0.86080194,8,car,25
891.0753,2050.1904,959.9386,2189.7417,3,0.8459741,7,car,25
912.8771,1504.5634,974.13025,1622.8795,3,0.83866286,9,car,25
895.0014,1851.4507,970.6254,2010.2393,3,0.83395797,11,car,25
891.64746,1344.196,951.2712,1456.1926,3,0.830762,5,car,25
910.78625,1687.3418,969.7528,1801.7527,3,0.8278784,12,car,25
892.3312,1203.6857,944.5547,1297.6489,3,0.8180694,13,car,25
881.59515,1030.854,930.5799,1110.4268,3,0.8071547,10,car,25
871.192,897.53064,916.771,965.92346,3,0.79128,15,car,25
852.1324,810.71356,905.9526,882.9003,3,0.71751624,16,car,25
792.0302,2745.323,901.12445,2932.0356,3,0.88219625,1,car,26
856.5328,2256.405,942.1974,2432.6772,3,0.86684483,3,car,26
809.3452,2482.9348,907.81274,2670.058,3,0.8608995,8,car,26
890.88367,2049.897,960.0016,2189.7417,3,0.8461042,7,car,26
891.7205,1344.0754,951.507,1456.6674,3,0.8432903,5,car,26
894.73737,1851.1707,970.49304,2008.7454,3,0.8419977,11,car,26
912.90515,1504.684,973.963,1623.0022,3,0.83749294,9,car,26
909.89624,1687.0483,970.5569,1802.4182,3,0.8264846,12,car,26
892.7961,1203.6233,945.128,1298.2087,3,0.8194004,13,car,26
881.66345,1031.2385,930.9939,1110.5225,3,0.81341535,10,car,26
871.6888,897.4488,917.08026,965.9174,3,0.79599315,15,car,26
852.1981,810.4098,906.02875,882.92596,3,0.72249454,16,car,26
791.9623,2744.8833,901.3667,2932.0244,3,0.8814264,1,car,27
856.303,2256.4321,942.23145,2432.7603,3,0.86686057,3,car,27
809.5305,2482.8433,907.6117,2670.2163,3,0.86019456,8,car,27
894.7412,1851.2025,970.3696,2008.4985,3,0.8490102,11,car,27
890.8246,2049.9722,960.0099,2189.4482,3,0.8453921,7,car,27
891.3246,1344.2882,952.1824,1457.5481,3,0.8442351,5,car,27
912.9985,1504.537,974.06525,1622.7773,3,0.83889705,9,car,27
910.06805,1687.1455,969.8584,1801.6963,3,0.8292603,12,car,27
892.76184,1204.7429,945.24316,1298.3821,3,0.82472354,13,car,27
881.38367,1031.4377,931.07336,1111.3933,3,0.8020656,10,car,27
871.8188,898.52545,917.08044,965.40216,3,0.7929865,15,car,27
852.5462,810.9395,906.19684,884.43695,3,0.7145294,16,car,27
791.92474,2745.1738,901.5441,2932.1255,3,0.8816097,1,car,28
856.447,2256.4604,942.21985,2432.8306,3,0.86717886,3,car,28
808.781,2482.7227,907.6852,2669.9487,3,0.86064494,8,car,28
890.7453,2049.954,960.0599,2189.5637,3,0.8466778,7,car,28
894.64856,1851.1038,970.42145,2008.8176,3,0.84497625,11,car,28
891.0438,1345.823,951.905,1457.7273,3,0.84001815,5,car,28
912.86816,1504.5538,974.2761,1622.9235,3,0.839437,9,car,28
910.67084,1687.1072,969.95123,1801.8374,3,0.82684976,12,car,28
892.4147,1205.265,945.2567,1298.5353,3,0.82498026,13,car,28
881.21277,1031.5404,931.1178,1111.7501,3,0.8052232,10,car,28
871.49133,897.4517,916.8452,965.005,3,0.79225683,15,car,28
851.96246,811.0109,906.1408,883.01733,3,0.7309508,16,car,28
792.1309,2745.058,901.85504,2932.0994,3,0.8813113,1,car,29
856.45264,2256.4382,942.125,2432.7153,3,0.86568063,3,car,29
808.8085,2482.7095,907.78357,2669.9495,3,0.86206776,8,car,29
891.011,2049.761,960.00183,2189.4968,3,0.84750646,7,car,29
894.7881,1851.0725,970.3429,2008.8538,3,0.8432716,11,car,29
913.1424,1504.6631,974.1621,1623.0261,3,0.8408314,9,car,29
890.7538,1346.9563,952.1885,1458.1665,3,0.84041876,5,car,29
909.959,1687.0386,970.5654,1802.4119,3,0.82586217,12,car,29
891.97217,1206.4894,945.14624,1299.3851,3,0.8190272,13,car,29
881.13116,1031.63,931.2834,1112.578,3,0.807292,10,car,29
871.2649,896.8978,916.7593,965.0123,3,0.79281867,15,car,29
852.0663,810.88934,906.5081,883.1717,3,0.739434,16,car,29
792.02527,2744.6787,902.614,2931.7903,3,0.88358,1,car,30
856.11053,2256.1128,942.1635,2432.8887,3,0.8658445,3,car,30
808.9338,2483.2322,907.42694,2670.6104,3,0.8621827,8,car,30
894.8945,1851.487,970.4469,2008.8896,3,0.85373145,11,car,30
890.30914,1347.3005,951.9183,1458.5605,3,0.84667057,5,car,30
891.23254,2050.1816,960.2362,2189.8584,3,0.8465089,7,car,30
912.95123,1504.2133,974.1013,1623.1304,3,0.83963215,9,car,30
910.0741,1687.1898,970.01587,1801.7831,3,0.83095276,12,car,30
891.3173,1206.9614,945.0335,1299.8701,3,0.81295633,13,car,30
